lacode,laname,idaci
E06000001,Hartlepool,0.307
E06000002,Middlesbrough,0.357
E06000003,Redcar and Cleveland,0.273
E06000004,Stockton-on-Tees,0.226
E06000005,Darlington,0.215
E06000006,Halton,0.268
E06000007,Warrington,0.153
E06000008,Blackburn with Darwen,0.24
E06000009,Blackpool,0.329
E06000010,"Kingston upon Hull, City of",0.34
E06000011,East Riding of Yorkshire,0.131
E06000012,North East Lincolnshire,0.29
E06000013,North Lincolnshire,0.205
E06000014,York,0.123
E06000015,Derby,0.249
E06000016,Leicester,0.284
E06000017,Rutland,0.076
E06000018,Nottingham,0.345
E06000019,"Herefordshire, County of",0.138
E06000020,Telford and Wrekin,0.245
E06000021,Stoke-on-Trent,0.286
E06000022,Bath and North East Somerset,0.121
E06000023,"Bristol, City of",0.246
E06000024,North Somerset,0.148
E06000025,South Gloucestershire,0.124
E06000026,Plymouth,0.225
E06000027,Torbay,0.241
E06000028,Bournemouth,0.187
E06000029,Poole,0.162
E06000030,Swindon,0.172
E06000031,Peterborough,0.251
E06000032,Luton,0.237
E06000033,Southend-on-Sea,0.227
E06000034,Thurrock,0.218
E06000035,Medway,0.22
E06000036,Bracknell Forest,0.11
E06000037,West Berkshire,0.104
E06000038,Reading,0.198
E06000039,Slough,0.195
E06000040,Windsor and Maidenhead,0.084
E06000041,Wokingham,0.068
E06000042,Milton Keynes,0.197
E06000043,Brighton and Hove,0.183
E06000044,Portsmouth,0.238
E06000045,Southampton,0.25
E06000046,Isle of Wight,0.204
E06000047,County Durham,0.239
E06000049,Cheshire East,0.124
E06000050,Cheshire West and Chester,0.166
E06000051,Shropshire,0.128
E06000052,Cornwall,0.177
E06000053,Isles of Scilly,0.013
E06000054,Wiltshire,0.114
E06000055,Bedford,0.189
E06000056,Central Bedfordshire,0.137
E06000057,Northumberland,0.186
E08000001,Bolton,0.231
E08000002,Bury,0.184
E08000003,Manchester,0.343
E08000004,Oldham,0.26
E08000005,Rochdale,0.266
E08000006,Salford,0.278
E08000007,Stockport,0.158
E08000008,Tameside,0.246
E08000009,Trafford,0.143
E08000010,Wigan,0.202
E08000011,Knowsley,0.337
E08000012,Liverpool,0.334
E08000013,St. Helens,0.263
E08000014,Sefton,0.211
E08000015,Wirral,0.241
E08000016,Barnsley,0.249
E08000017,Doncaster,0.248
E08000018,Rotherham,0.243
E08000019,Sheffield,0.235
E08000021,Newcastle upon Tyne,0.273
E08000022,North Tyneside,0.204
E08000023,South Tyneside,0.282
E08000024,Sunderland,0.262
E08000025,Birmingham,0.305
E08000026,Coventry,0.253
E08000027,Dudley,0.22
E08000028,Sandwell,0.299
E08000029,Solihull,0.164
E08000030,Walsall,0.284
E08000031,Wolverhampton,0.313
E08000032,Bradford,0.249
E08000033,Calderdale,0.214
E08000034,Kirklees,0.192
E08000035,Leeds,0.225
E08000036,Wakefield,0.224
E08000037,Gateshead,0.227
E09000001,City of London,0.102
E09000002,Barking and Dagenham,0.319
E09000003,Barnet,0.175
E09000004,Bexley,0.194
E09000005,Brent,0.265
E09000006,Bromley,0.166
E09000007,Camden,0.272
E09000008,Croydon,0.232
E09000009,Ealing,0.23
E09000010,Enfield,0.307
E09000011,Greenwich,0.267
E09000012,Hackney,0.322
E09000013,Hammersmith and Fulham,0.267
E09000014,Haringey,0.287
E09000015,Harrow,0.169
E09000016,Havering,0.202
E09000017,Hillingdon,0.208
E09000018,Hounslow,0.222
E09000019,Islington,0.353
E09000020,Kensington and Chelsea,0.174
E09000021,Kingston upon Thames,0.123
E09000022,Lambeth,0.304
E09000023,Lewisham,0.296
E09000024,Merton,0.169
E09000025,Newham,0.288
E09000026,Redbridge,0.192
E09000027,Richmond upon Thames,0.087
E09000028,Southwark,0.303
E09000029,Sutton,0.159
E09000030,Tower Hamlets,0.393
E09000031,Waltham Forest,0.27
E09000032,Wandsworth,0.207
E09000033,Westminster,0.287
E10000002,Buckinghamshire,0.098
E10000003,Cambridgeshire,0.127
E10000006,Cumbria,0.155
E10000007,Derbyshire,0.17
E10000008,Devon,0.135
E10000009,Dorset,0.128
E10000011,East Sussex,0.174
E10000012,Essex,0.168
E10000013,Gloucestershire,0.146
E10000014,Hampshire,0.118
E10000015,Hertfordshire,0.132
E10000016,Kent,0.178
E10000017,Lancashire,0.18
E10000018,Leicestershire,0.12
E10000019,Lincolnshire,0.177
E10000020,Norfolk,0.177
E10000021,Northamptonshire,0.168
E10000023,North Yorkshire,0.114
E10000024,Nottinghamshire,0.175
E10000025,Oxfordshire,0.118
E10000027,Somerset,0.148
E10000028,Staffordshire,0.147
E10000029,Suffolk,0.15
E10000030,Surrey,0.097
E10000031,Warwickshire,0.138
E10000032,West Sussex,0.129
E10000034,Worcestershire,0.157
